district,region,population,outlets,wholesale,pharmacies_per_100k,pop_per_pharmacy,hhi
Nkwanta South Municipal,Oti,135944.0,3,2,2.2067910316012473,45314.666666666664,3333.0
Wassa Amenfi East Municipal,Western,179834.0,4,1,2.2242734966691504,44958.5,2500.0
Tano South Municipal,Ahafo,87177.0,2,2,2.2941830987531113,43588.5,5000.0
Adansi South,Ashanti,85554.0,2,2,2.3377048413867265,42777.0,5000.0
Ajumako Enyan Essiam,Central,120682.0,3,2,2.4858719610215276,40227.333333333336,3333.0
Kwahu South Municipal,Eastern,79700.0,2,0,2.509410288582183,39850.0,5000.0
Bawku Municipal,Upper East,119449.0,3,2,2.511532118309906,39816.333333333336,3333.0
Wassa Amenfi Central,Western,118190.0,3,3,2.5382858109823165,39396.666666666664,3333.0
Suaman,Western North,38268.0,1,1,2.613149367617853,38268.0,10000.0
Nkoranza South Municipal,Bono East,114524.0,3,1,2.619538262722224,38174.666666666664,3333.0
Kwahu Afram Plains South,Eastern,74256.0,2,0,2.6933850463262226,37128.0,5000.0
Afadzato South,Volta,73162.0,2,0,2.733659550039638,36581.0,10000.0
Sene East,Bono East,72203.0,2,1,2.7699680068695205,36101.5,5000.0
Ejura Sekyedumase Municipal,Ashanti,137767.0,4,2,2.903452931398666,34441.75,2500.0
Asokore Mampong Municipal,Ashanti,191696.0,6,1,3.129955763291879,31949.333333333332,1667.0
West Gonja,Savannah,63343.0,2,1,3.15741281593862,31671.5,5000.0
Akatsi South Municipal,Volta,92260.0,3,2,3.251680034684587,30753.333333333332,3333.0
Krachi West Municipal,Oti,61503.0,2,1,3.251873892330455,30751.5,5000.0
Jirapa Municipal,Upper West,91194.0,3,2,3.2896901111915255,30398.0,3333.0
Kwaebibirem Municipal,Eastern,121534.0,4,2,3.291260058913555,30383.5,2500.0
Ellembelle,Western,121249.0,4,3,3.2989962803816937,30312.25,3750.0
Jasikan Municipal,Oti,59737.0,2,0,3.3480087717829825,29868.5,5000.0
Lawra Municipal,Upper West,58428.0,2,0,3.42301636201821,29214.0,5000.0
Ketu North Municipal,Volta,114972.0,4,2,3.4791079567198975,28743.0,2500.0
Amansie West,Ashanti,112214.0,4,2,3.564617605646354,28053.5,2500.0
Offinso North,Ashanti,83643.0,3,0,3.586671927118826,27881.0,3333.0
North Tongu,Volta,111297.0,4,4,3.5939872593151656,27824.25,2500.0
Komenda Edina Eguafo Abirem Municipal,Central,166153.0,6,4,3.6111295011224596,27692.166666666668,1667.0
Krachi East Municipal,Oti,110486.0,4,2,3.62036819144507,27621.5,2500.0
Bia East,Western North,53132.0,2,1,3.764209892343597,26566.0,5000.0
Wassa Amenfi West Municipal,Western,131099.0,5,5,3.813911624039848,26219.8,2000.0
Denkyembuor,Eastern,76757.0,3,3,3.9084383183292726,25585.666666666668,3333.0
Pru East,Bono East,100902.0,4,2,3.9642425323581296,25225.5,3750.0
Kasena Nankana Municipal,Upper East,99877.0,4,4,4.004926059052635,24969.25,3750.0
Kadjebi,Oti,73769.0,3,2,4.066748905366754,24589.666666666668,3333.0
Lower Manya Krobo Municipal,Eastern,122096.0,5,2,4.0951382518673825,24419.2,2000.0
Dormaa West,Bono,47937.0,2,1,4.1721426038341995,23968.5,5000.0
Amansie Central,Ashanti,93415.0,4,0,4.281967564095702,23353.75,2500.0
Ahafo Ano North Municipal,Ashanti,92759.0,4,4,4.312250024256406,23189.75,2500.0
Dormaa East,Bono,68110.0,3,0,4.404639553663192,22703.333333333332,3333.0
South Tongu,Volta,113377.0,5,3,4.410065533573829,22675.4,2800.0
Asutifi South,Ahafo,67382.0,3,2,4.452227597874803,22460.666666666668,3333.0
Twifo Heman Lower Denkyira,Central,66166.0,3,2,4.534050720914064,22055.333333333332,3333.0
Ahanta West Municipal,Western,153505.0,7,3,4.560112048467476,21929.285714285714,1429.0
