chain,outlets,total_pop_served,mmda_count,regions,pop_per_outlet,avg_mmda_pop
MEALIENT PHARMACY,1,19283.5625,1,1,19283.5625,19283.5625
BEYOND HEALTH PHARMACY LIMI,1,19283.5625,1,1,19283.5625,19283.5625
AUGMENS PHARMACY LTD,1,19283.5625,1,1,19283.5625,19283.5625
MOORHEAD PHARMACY LTD,1,19283.5625,1,1,19283.5625,19283.5625
RENADA CHEMISTS,1,19283.5625,1,1,19283.5625,19283.5625
GLABY PHARMACY,1,19283.5625,1,1,19283.5625,19283.5625
FULL DOSE PHARMACY,1,19283.5625,1,1,19283.5625,19283.5625
HOLLYWELL CHEMIST LIMITED,1,19283.5625,1,1,19283.5625,19283.5625
HOME-OFFICE PHARMACY,1,19283.5625,1,1,19283.5625,19283.5625
COLE PHARMACY LTD,1,19283.5625,1,1,19283.5625,19283.5625
DIVINE HEALTHCARE PHARMACY,1,19283.5625,1,1,19283.5625,19283.5625
TREASURE PHARMACY LTD,1,19283.5625,1,1,19283.5625,19283.5625
ASHER'S HAVEN PHARMACY LTD,1,19283.5625,1,1,19283.5625,19283.5625
HILLSIDE PHARMACY LTD,1,19172.666666666668,1,1,19172.666666666668,19172.666666666668
FIRST MED PHARMACY LTD,1,19172.666666666668,1,1,19172.666666666668,19172.666666666668
FAR ABOVE PHARMACY,1,19172.666666666668,1,1,19172.666666666668,19172.666666666668
GRAMER CHEMISTS,4,19149.435813034892,2,1,4787.358953258723,9574.717906517446
KHENIS-B ROYAL COMPANY LTD,1,19133.25,1,1,19133.25,19133.25
NICK & SONS PHARMACY LTD.,1,19133.25,1,1,19133.25,19133.25
RUANDY PHARMACY LTD.(PWD BR,1,19133.25,1,1,19133.25,19133.25
SHERAG PHARMACY LTD,2,19116.129032258064,1,1,9558.064516129032,19116.129032258064
PLUSCARE PHARMACY,1,18985.38888888889,1,1,18985.38888888889,18985.38888888889
HEALTH DIRECT PHARMACEUTICA,1,18985.38888888889,1,1,18985.38888888889,18985.38888888889
FAAKO PHARMACY,1,18985.38888888889,1,1,18985.38888888889,18985.38888888889
SLAVA PHARMACY (KALPOHIN BR,1,18985.38888888889,1,1,18985.38888888889,18985.38888888889
AMPONSAH-EFAH PHARMACEUTI,1,18985.38888888889,1,1,18985.38888888889,18985.38888888889
SUNG ROYAL PHARMACY LIMITED,1,18985.38888888889,1,1,18985.38888888889,18985.38888888889
JAGS PHARMACY,1,18985.38888888889,1,1,18985.38888888889,18985.38888888889
ALLIANCE PHARMACY LIMITED,1,18985.38888888889,1,1,18985.38888888889,18985.38888888889
FAR-HABINK PHARMACY LTD.,1,18985.38888888889,1,1,18985.38888888889,18985.38888888889
PROCARE PHARMACY (T-POLY BR,1,18985.38888888889,1,1,18985.38888888889,18985.38888888889
KAISER PHARMACY,1,18985.38888888889,1,1,18985.38888888889,18985.38888888889
OTENTIK PHARMACY LIMITED,1,18985.38888888889,1,1,18985.38888888889,18985.38888888889
DANLYD PHARMACY LTD,1,18985.38888888889,1,1,18985.38888888889,18985.38888888889
XERION CHEMISTS LTD,1,18985.38888888889,1,1,18985.38888888889,18985.38888888889
